R,G,B,IndexRGB,CPC
0.96,0.9545454545454544,0.9777777777777777,0.9609003565693148,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.986858535642759,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9846299393262214,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9860094014335312,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9867881300424963,0.0833
0.98,0.9818181818181817,0.9833333333333333,0.9842259452866193,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9853661502674955,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.985797727453521,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9832638878094377,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9847222895291632,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9841431958473497,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9846200337764011,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9850846802595192,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9833509042547843,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9845593813328846,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.982372845504816,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9831962252845103,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9832897946320454,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9834342632663506,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.981714507424438,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9834964396406083,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9848140301598083,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9861817580004077,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9846927252727757,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9855560320379009,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9860296697123945,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9853870281186559,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9841520346456509,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9853090028646851,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9859873044377776,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9839734299627338,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9822317295181422,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9848083916160644,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9861139430824057,0.0833
0.9900000000000002,0.9818181818181817,0.9888888888888888,0.986439759474963,0.0833
0.9900000000000002,0.9818181818181817,0.9888888888888888,0.9856521920676966,0.0833
0.9900000000000002,0.9818181818181817,0.9833333333333333,0.9859687124827301,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9833740680020566,0.0833
0.98,0.9727272727272729,0.9833333333333333,0.9842047626493111,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9850906235894115,0.0833
0.9700000000000002,0.9545454545454544,0.9722222222222222,0.9735614779567989,0.0833
0.98,0.9636363636363636,0.9777777777777777,0.982589091277051,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.98829590711825,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.989184815919834,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9880414106844004,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9894484559381331,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9891409267144755,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9897884448865877,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9895359295627018,0.0833
0.9900000000000002,0.9727272727272729,0.9833333333333333,0.9901240144358912,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9743109470955253,0.0833
0.9900000000000002,0.9727272727272729,0.9888888888888888,0.9917889087711054,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9685692332403428,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9706846015027784,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9708214504833756,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9720308419199213,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9703932259449817,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9727841208855013,0.0833
0.98,0.9636363636363636,0.9777777777777777,0.9753524013643446,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9730116437452245,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9716250191634292,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9747947951059877,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9727248399796526,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9711708878024277,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9725701610093787,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9729505341224856,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9732182887537875,0.0833
0.98,0.9636363636363636,0.9777777777777777,0.9757784923997004,0.0833
0.98,0.9636363636363636,0.9833333333333333,0.9769875790500973,0.0833
0.9700000000000002,0.9545454545454544,0.9777777777777777,0.9737661418553978,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9745398414929156,0.0833
0.98,0.9636363636363636,0.9833333333333333,0.9758863866962064,0.0833
0.98,0.9636363636363636,0.9833333333333333,0.9774724938120791,0.0833
0.98,0.9636363636363636,0.9833333333333333,0.9780645409051967,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9744979333975212,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9744086310560627,0.0833
0.98,0.9545454545454544,0.9777777777777777,0.9745078389473416,0.0833
0.98,0.9636363636363636,0.9777777777777777,0.9753229895010314,0.0833
0.98,0.9636363636363636,0.9833333333333333,0.9760268931105835,0.0833
0.9700000000000002,0.9545454545454544,0.9722222222222222,0.9667269533668048,0.0833
0.9300000000000002,0.9636363636363636,0.9111111111111111,0.9328457059746313,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9474210367666578,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9407335714932297,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9444554675434753,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9430325734100296,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9415639613543354,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9429408327793845,0.0833
0.9500000000000002,0.9727272727272729,0.9166666666666666,0.9445299877567404,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9432238267181023,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9434449490687105,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9442809774735605,0.0833
0.94,0.9727272727272729,0.9166666666666666,0.9432280937241788,0.0833
0.9500000000000002,0.9727272727272729,0.9166666666666666,0.9452145374458738,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9465837892172149,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9468132931869018,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9468250274536121,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9465391380464852,0.0833
0.9500000000000002,0.9727272727272729,0.9166666666666666,0.9459300229290617,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9473772999543735,0.0833
0.94,0.9727272727272729,0.9222222222222223,0.9437732037504547,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.949684073917956,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9490306124159515,0.0833
0.9500000000000002,0.9727272727272729,0.9277777777777778,0.9514361370915905,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9505338176994804,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9470478261280364,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.9494077852745011,0.0833
0.9500000000000002,0.9727272727272729,0.9222222222222223,0.949989164852427,0.0833
