H,S,L,IndexHSL,CPC
0.9696969696969697,0.2238805970149254,0.8333333333333334,0.9728035932295351,0.0833
0.9696969696969697,0.208955223880597,0.8541666666666666,0.9752814746710476,0.0833
0.9696969696969697,0.2238805970149254,0.8541666666666666,0.9723996563522088,0.0833
0.9696969696969697,0.2238805970149254,0.8541666666666666,0.971751548675901,0.0833
0.9696969696969697,0.2238805970149254,0.8541666666666666,0.9718751413025459,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9788927909325209,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9793720891675579,0.0833
0.9696969696969697,0.2537313432835821,0.9374999999999999,0.9767917162795601,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9777774428384105,0.0833
0.9696969696969697,0.2686567164179104,0.9583333333333334,0.9775513587652793,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9779884546399988,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9763033746815979,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9771293351621018,0.0833
0.9696969696969697,0.2686567164179104,0.9583333333333334,0.9811717183896786,0.0833
0.9696969696969697,0.2686567164179104,0.9583333333333334,0.9800412980240254,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9770569882587004,0.0833
0.9696969696969697,0.2686567164179104,0.9583333333333334,0.9779161077365965,0.0833
0.9696969696969697,0.2686567164179104,0.9374999999999999,0.9776387779402236,0.0833
0.9696969696969697,0.2537313432835821,0.9374999999999999,0.980176948467903,0.0833
0.9696969696969697,0.2537313432835821,0.9374999999999999,0.9832004461392372,0.0833
0.9090909090909092,0.2686567164179104,0.875,0.928473028170075,0.0833
0.9090909090909092,0.2537313432835821,0.875,0.9274812727026087,0.0833
0.9090909090909092,0.2686567164179104,0.875,0.9273787812561234,0.0833
0.9090909090909092,0.2686567164179104,0.8541666666666666,0.9260313201802641,0.0833
0.9090909090909092,0.2537313432835821,0.875,0.9277887470420665,0.0833
0.9090909090909092,0.2537313432835821,0.875,0.9269899166503381,0.0833
0.9090909090909092,0.2686567164179104,0.8541666666666666,0.9278972673971695,0.0833
0.9090909090909092,0.2537313432835821,0.875,0.9267005290367307,0.0833
0.9090909090909092,0.2537313432835821,0.875,0.9258926552820772,0.0833
0.9090909090909092,0.2686567164179104,0.8541666666666666,0.9298958506036441,0.0833
0.9090909090909092,0.2835820895522388,0.8541666666666666,0.9260343346345725,0.0833
0.9090909090909092,0.2686567164179104,0.875,0.9269748443787962,0.0833
0.9090909090909092,0.2835820895522388,0.8541666666666666,0.9290789334860654,0.0833
0.9090909090909092,0.2835820895522388,0.8541666666666666,0.9299410674182709,0.0833
0.9090909090909092,0.2835820895522388,0.8541666666666666,0.9267758903944414,0.0833
0.9393939393939394,0.2686567164179104,0.8541666666666666,0.9312463261338118,0.0833
0.9090909090909092,0.2686567164179104,0.8541666666666666,0.9270441768278892,0.0833
0.9090909090909092,0.2835820895522388,0.8541666666666666,0.9272973909897959,0.0833
0.9090909090909092,0.2835820895522388,0.8333333333333334,0.9271707839088426,0.0833
0.9090909090909092,0.2686567164179104,0.8333333333333334,0.9289432830421869,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9915746002079975,0.0833
1.0,0.2388059701492537,0.875,0.9930999140880519,0.0833
1.0,0.2388059701492537,0.8958333333333334,0.9933048969810243,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9926809049391836,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9917554674665019,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9903326450329328,0.0833
1.0,0.2388059701492537,0.8958333333333334,0.9947277194145925,0.0833
0.9696969696969697,0.2238805970149254,0.8958333333333334,0.9899498093357653,0.0833
0.9696969696969697,0.2238805970149254,0.875,0.9868991815756556,0.0833
1.0,0.2388059701492537,0.875,0.9927924397485941,0.0833
0.9696969696969697,0.2238805970149254,0.8958333333333334,0.9868539647610288,0.0833
0.9696969696969697,0.2238805970149254,0.875,0.9862721750795065,0.0833
0.9696969696969697,0.2238805970149254,0.875,0.9876648529699907,0.0833
0.9696969696969697,0.1940298507462686,0.875,0.9823986012932004,0.0833
0.9696969696969697,0.208955223880597,0.8541666666666666,0.9787330248541752,0.0833
0.9696969696969697,0.1940298507462686,0.875,0.9833029375857234,0.0833
0.9696969696969697,0.1940298507462686,0.875,0.9857989057530863,0.0833
0.9696969696969697,0.208955223880597,0.8541666666666666,0.9812109062956877,0.0833
0.9696969696969697,0.1940298507462686,0.8541666666666666,0.9855728216799551,0.0833
0.9696969696969697,0.1940298507462686,0.8541666666666666,0.9850965378992265,0.0833
0.9696969696969697,0.2388059701492537,0.8541666666666666,0.9837309900975177,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9849337573665724,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9865796494189643,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9874538411684024,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9868208057636365,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9873603930848414,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9853497520611332,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9873845087193094,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9892956727508397,0.0833
0.9696969696969697,0.2388059701492537,0.8958333333333334,0.9870710054712348,0.0833
