Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
150,207,166,136,37,70,27,0,19,18,9916487,1393267,27820064,DSC_5917.JPG,1,0.0833,2
161,215,177,137,40,74,24,0,17,15,10671130,1406637,24728956,DSC_5918.JPG,1,0.0833,2
158,213,175,138,39,72,25,0,17,16,10468273,1412290,25759258,DSC_5919.JPG,1,0.0833,2
160,215,177,138,41,73,25,0,17,15,10579687,1412337,25759257,DSC_5920.JPG,1,0.0833,2
158,214,176,138,40,73,25,0,17,15,10469875,1413816,25759258,DSC_5921.JPG,1,0.0833,2
160,215,177,138,41,73,25,0,17,15,10570953,1413701,25759257,DSC_5922.JPG,1,0.0833,2
159,215,176,138,41,73,25,0,17,15,10500084,1414575,25759257,DSC_5923.JPG,1,0.0833,2
160,215,177,138,41,73,25,0,17,15,10550045,1415711,25759257,DSC_5924.JPG,1,0.0833,2
159,215,176,138,41,73,26,0,17,15,10482236,1417367,26789558,DSC_5925.JPG,1,0.0833,2
159,215,177,138,41,73,25,0,17,15,10534271,1416645,25759257,DSC_5926.JPG,1,0.0833,2
159,215,176,138,41,73,26,0,18,15,10480972,1411525,26789659,DSC_5927.JPG,1,0.0833,2
159,213,174,137,39,73,25,0,18,16,10484536,1397842,25759359,DSC_5928.JPG,1,0.0833,2
159,213,175,136,39,73,25,0,18,16,10523946,1397565,25759359,DSC_5929.JPG,1,0.0833,2
159,213,174,137,39,73,25,0,18,16,10502495,1398083,25759359,DSC_5930.JPG,1,0.0833,2
158,213,174,137,39,72,25,0,18,16,10462129,1398511,25759359,DSC_5931.JPG,1,0.0833,2
161,214,176,136,40,73,25,0,17,15,10609653,1397004,25759257,DSC_5932.JPG,1,0.0833,2
159,213,174,136,39,73,25,0,18,16,10483951,1397105,25759359,DSC_5933.JPG,1,0.0833,2
158,212,174,136,39,72,25,0,18,16,10462289,1397488,25759359,DSC_5934.JPG,1,0.0833,2
158,212,173,136,38,72,25,0,18,16,10429961,1397352,25759359,DSC_5935.JPG,1,0.0833,2
159,213,174,136,39,72,25,0,18,16,10482084,1396626,25759359,DSC_5936.JPG,1,0.0833,2
158,212,174,136,39,72,25,0,18,16,10466281,1397425,25759359,DSC_5937.JPG,1,0.0833,2
157,211,167,130,38,72,25,0,21,16,10370697,1334994,25759663,DSC_5938.JPG,1,0.0833,2
157,211,167,130,38,72,25,0,21,16,10370818,1332988,25759663,DSC_5939.JPG,1,0.0833,2
157,212,169,133,39,72,25,0,20,16,10404459,1358014,25759561,DSC_5940.JPG,1,0.0833,2
158,213,170,132,39,72,25,0,20,16,10435299,1356773,25759561,DSC_5941.JPG,1,0.0833,2
159,214,171,133,40,73,25,0,19,15,10494924,1361646,25759460,DSC_5942.JPG,1,0.0833,2
160,214,172,133,40,73,25,0,19,15,10546567,1359013,25759460,DSC_5943.JPG,1,0.0833,2
162,216,173,132,41,74,24,0,19,15,10720935,1350357,24729158,DSC_5944.JPG,1,0.0833,2
164,217,174,132,41,74,24,0,19,14,10808658,1347365,24729157,DSC_5945.JPG,1,0.0833,2
166,217,175,130,40,75,23,0,19,14,10940012,1330662,23698856,DSC_5946.JPG,1,0.0833,2
165,217,174,130,40,75,23,0,19,14,10914707,1332486,23698856,DSC_5947.JPG,1,0.0833,2
165,217,174,130,40,75,23,0,19,14,10913350,1332529,23698856,DSC_5948.JPG,1,0.0833,2
164,216,173,130,40,74,24,0,19,15,10834207,1334695,24729158,DSC_5949.JPG,1,0.0833,2
164,216,173,131,40,74,24,0,19,15,10824572,1336511,24729158,DSC_5950.JPG,1,0.0833,2
164,216,174,131,40,74,24,0,19,15,10834226,1339781,24729158,DSC_5951.JPG,1,0.0833,2
165,216,173,129,39,74,23,0,19,15,10913695,1324555,23698857,DSC_5952.JPG,1,0.0833,2
166,216,174,129,39,75,23,0,19,15,10937759,1324261,23698857,DSC_5953.JPG,1,0.0833,2
165,216,173,129,39,74,23,0,19,15,10879799,1326168,23698857,DSC_5954.JPG,1,0.0833,2
164,215,173,130,39,74,23,0,19,15,10851962,1327239,23698857,DSC_5955.JPG,1,0.0833,2
164,215,173,130,39,74,23,0,19,15,10849240,1327601,23698857,DSC_5956.JPG,1,0.0833,2
165,216,174,130,39,74,23,0,19,15,10916529,1326362,23698857,DSC_5957.JPG,1,0.0833,2
157,215,175,138,42,73,27,0,18,15,10352287,1417960,27819960,DSC_5958.JPG,1,0.0833,2
156,215,175,139,42,72,27,0,18,15,10286700,1419563,27819960,DSC_5959.JPG,1,0.0833,2
155,215,174,139,43,72,27,0,18,15,10239758,1420254,27819960,DSC_5960.JPG,1,0.0833,2
