H,S,L,IndexHSL,Day,CPC
0.833333333333333,0.014084507042253502,0.8194444444444444,0.8084808791696734,2,0.0833
0.5,0.0,0.8194444444444444,0.49052006438363804,2,0.0833
1.0,0.04225352112676056,0.7638888888888888,0.9826996725314983,2,0.0833
1.0,0.04225352112676056,0.7638888888888888,0.982766276294611,2,0.0833
1.0,0.056338028169014065,0.7777777777777777,0.9767996891824389,2,0.0833
0.9444444444444438,0.056338028169014065,0.7916666666666666,0.9535771771105068,2,0.0833
0.8888888888888884,0.08450704225352113,0.8055555555555555,0.8621524116112562,2,0.0833
0.8888888888888884,0.08450704225352113,0.8055555555555555,0.88051839928956,2,0.0833
0.833333333333333,0.09859154929577463,0.8333333333333333,0.7964977521229946,2,0.0833
0.7222222222222223,0.08450704225352113,0.8333333333333333,0.7304268191152801,2,0.0833
0.7222222222222223,0.08450704225352113,0.8333333333333333,0.6930010545595824,2,0.0833
0.6666666666666661,0.08450704225352113,0.8333333333333333,0.6681078980962427,2,0.0833
0.7222222222222223,0.08450704225352113,0.8333333333333333,0.6868846089804075,2,0.0833
0.6666666666666661,0.08450704225352113,0.8333333333333333,0.6686129766331801,2,0.0833
0.6666666666666661,0.07042253521126757,0.8333333333333333,0.6732918909918411,2,0.0833
0.7222222222222223,0.07042253521126757,0.8333333333333333,0.7098684575678522,2,0.0833
0.7777777777777777,0.07042253521126757,0.8194444444444444,0.7375645223955152,2,0.0833
0.6666666666666661,0.08450704225352113,0.8333333333333333,0.6647721596270193,2,0.0833
0.6666666666666661,0.07042253521126757,0.8333333333333333,0.6525559194094468,2,0.0833
0.6666666666666661,0.07042253521126757,0.8333333333333333,0.6445246156407833,2,0.0833
0.8888888888888884,0.2816901408450704,0.7916666666666666,0.8804184936448909,2,0.0833
0.8888888888888884,0.2816901408450704,0.7916666666666666,0.8877338069600933,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8927346395071325,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8937503468945991,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8964144974191042,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8949103624354775,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8967919187434088,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8944441360936892,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.894777154909252,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8968141199977797,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.9012432702447688,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8999222956097022,2,0.0833
0.8888888888888884,0.2676056338028169,0.7916666666666666,0.8989454404173838,2,0.0833
1.0,0.21126760563380276,0.8472222222222221,0.9922295609701948,2,0.0833
1.0,0.21126760563380276,0.8472222222222221,1.0,2,0.0833
1.0,0.21126760563380276,0.8472222222222221,0.9963034911472501,2,0.0833
1.0,0.21126760563380276,0.8472222222222221,0.9967253149802966,2,0.0833
1.0,0.22535211267605637,0.8472222222222221,0.9869456624299273,2,0.0833
1.0,0.22535211267605637,0.8472222222222221,0.9856246877948607,2,0.0833
0.9444444444444438,0.21126760563380276,0.8472222222222221,0.9449242382194596,2,0.0833
0.8888888888888884,0.07042253521126757,0.7638888888888888,0.8541488594105564,2,0.0833
0.833333333333333,0.07042253521126757,0.7638888888888888,0.8465116279069766,2,0.0833
0.833333333333333,0.07042253521126757,0.7638888888888888,0.8434867069989451,2,0.0833
0.8888888888888884,0.07042253521126757,0.7638888888888888,0.8710273630460117,2,0.0833
0.8888888888888884,0.07042253521126757,0.7638888888888888,0.8762113559416109,2,0.0833
0.8888888888888884,0.07042253521126757,0.7638888888888888,0.8752289504356998,2,0.0833
1.0,0.07042253521126757,0.7638888888888888,0.9650718765610256,2,0.0833
0.8888888888888884,0.08450704225352113,0.7638888888888888,0.87612810123772,2,0.0833
0.8888888888888884,0.07042253521126757,0.7638888888888888,0.8696619859022032,2,0.0833
0.8888888888888884,0.07042253521126757,0.7499999999999999,0.8685408225564748,2,0.0833
0.7777777777777777,0.056338028169014065,0.7638888888888888,0.7592551479158569,2,0.0833
0.8888888888888884,0.1408450704225352,0.7638888888888888,0.8758061830493427,2,0.0833
0.8888888888888884,0.1408450704225352,0.7638888888888888,0.8816451129488811,2,0.0833
0.8888888888888884,0.1408450704225352,0.7638888888888888,0.8828051284897596,2,0.0833
0.8888888888888884,0.1549295774647887,0.7499999999999999,0.8988122328911583,2,0.0833
0.8888888888888884,0.1549295774647887,0.736111111111111,0.8924238219459397,2,0.0833
0.8888888888888884,0.1408450704225352,0.7499999999999999,0.8917910861963705,2,0.0833
0.8888888888888884,0.16901408450704225,0.7499999999999999,0.8954487428539712,2,0.0833
0.8888888888888884,0.16901408450704225,0.7499999999999999,0.8916245767885886,2,0.0833
0.8888888888888884,0.1408450704225352,0.7499999999999999,0.8818171726702557,2,0.0833
0.8888888888888884,0.2957746478873239,0.8333333333333333,0.854587334184381,2,0.0833
0.8888888888888884,0.2957746478873239,0.8472222222222221,0.8498529166897928,2,0.0833
0.8888888888888884,0.2957746478873239,0.8472222222222221,0.8530332463784207,2,0.0833
0.8888888888888884,0.2957746478873239,0.8472222222222221,0.8552866736970639,2,0.0833
0.8888888888888884,0.3098591549295775,0.8472222222222221,0.8521063440084369,2,0.0833
0.8888888888888884,0.3098591549295775,0.861111111111111,0.8550979630349111,2,0.0833
