R,G,B,IndexRGB,Day,Abs,CPC
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9957214204788651,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9866666666666667,0.9938052198266707,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9866666666666667,0.9928602316018882,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9800000000000001,0.9827545609023178,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9800000000000001,0.9836370144900641,2,0.0,0.0833
0.9879518072289155,0.9891304347826086,0.9866666666666667,0.9858211421355452,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9866666666666667,0.9920106041139354,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9945613204381165,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9942649686098126,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9962912008814264,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9962145455198974,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9970449174744513,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.997981103169681,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9966167110888766,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9970062230216223,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.999332841614252,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.9999187599876618,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.999565375103292,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.9985248427556463,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.9975307070741897,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.9973058757985087,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9966818131303667,2,0.0,0.0833
1.0,1.0000000000000002,0.9933333333333333,0.9978061528948037,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9956036866460858,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9953379602851871,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9958534584221685,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.993173271559137,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9934177251402811,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.992678862815878,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9916962804544598,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9935737866538248,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9931395285291815,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9927241591658724,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.992154011991246,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9950698499058679,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9934083724526306,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9941420999681276,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9927685385857048,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9950889220532342,2,0.0,0.0833
0.9879518072289155,1.0000000000000002,0.9933333333333333,0.9953882080580554,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9654399852704341,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9676633575268414,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9684429315504297,2,0.0,0.0833
0.963855421686747,0.9891304347826086,0.9866666666666667,0.9727569045758115,2,0.0,0.0833
0.963855421686747,0.9891304347826086,0.9866666666666667,0.9724550511665369,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9866666666666667,0.975720056086784,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9866666666666667,0.9757101532410362,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9866666666666667,0.9767439003054843,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9866666666666667,0.9772384924347759,2,0.0,0.0833
0.9759036144578315,0.9891304347826086,0.9866666666666667,0.9750220888475987,2,0.0,0.0833
0.963855421686747,0.9891304347826086,0.9800000000000001,0.9714735691213132,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9631581128697015,2,0.0,0.0833
0.9518072289156625,0.9782608695652175,0.9733333333333333,0.9584364726943697,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9658793782039834,2,0.0,0.0833
0.9518072289156625,0.9782608695652175,0.9733333333333333,0.960113171188294,2,0.0,0.0833
0.9518072289156625,0.9782608695652175,0.9733333333333333,0.9593398322898055,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9622092735382393,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9635045290848412,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.963251456360176,2,0.0,0.0833
0.963855421686747,0.9782608695652175,0.9800000000000001,0.9627500789476868,2,0.0,0.0833
