R,G,B,IndexRGB,Day,Abs,CPC
0.8128654970760234,0.8300000000000001,0.8186813186813187,0.810118061322839,2,0.0,0.0833
0.8128654970760234,0.8200000000000001,0.7967032967032968,0.8131465943869695,2,0.0,0.0833
0.7251461988304093,0.8,0.7692307692307693,0.7242074022926754,2,0.0,0.0833
0.7251461988304093,0.8,0.7692307692307693,0.7268756687221628,2,0.0,0.0833
0.7426900584795322,0.81,0.7857142857142857,0.7420642895942854,2,0.0,0.0833
0.7660818713450293,0.8250000000000001,0.8021978021978022,0.7624985100001325,2,0.0,0.0833
0.760233918128655,0.8400000000000001,0.7967032967032968,0.7614719323136061,2,0.0,0.0833
0.7660818713450293,0.8400000000000001,0.8021978021978022,0.7638833987659202,2,0.0,0.0833
0.7894736842105263,0.8600000000000001,0.8131868131868132,0.7885009076888082,2,0.0,0.0833
0.8011695906432748,0.8600000000000001,0.8131868131868132,0.797575484659957,2,0.0,0.0833
0.8070175438596492,0.8600000000000001,0.8186813186813187,0.8042782396197121,2,0.0,0.0833
0.8070175438596492,0.8600000000000001,0.8131868131868132,0.8052204617581812,2,0.0,0.0833
0.8070175438596492,0.8600000000000001,0.8186813186813187,0.8047167284696242,2,0.0,0.0833
0.8070175438596492,0.8600000000000001,0.8186813186813187,0.806503750533,2,0.0,0.0833
0.8070175438596492,0.8550000000000001,0.8131868131868132,0.8055070395104854,2,0.0,0.0833
0.8011695906432748,0.8550000000000001,0.8131868131868132,0.8003871288544775,2,0.0,0.0833
0.7836257309941521,0.8400000000000001,0.7967032967032968,0.7802762861976635,2,0.0,0.0833
0.8070175438596492,0.8600000000000001,0.8131868131868132,0.8055911283918997,2,0.0,0.0833
0.8128654970760234,0.8600000000000001,0.8186813186813187,0.8100624168833408,2,0.0,0.0833
0.8128654970760234,0.8600000000000001,0.8186813186813187,0.8097129058032974,2,0.0,0.0833
0.672514619883041,0.9,0.7582417582417582,0.6692761182865673,2,0.0,0.0833
0.6666666666666667,0.9,0.7582417582417582,0.664957896448187,2,0.0,0.0833
0.6783625730994152,0.895,0.7637362637362638,0.6750822511037999,2,0.0,0.0833
0.672514619883041,0.895,0.7582417582417582,0.6720617180389584,2,0.0,0.0833
0.672514619883041,0.895,0.7637362637362638,0.6738594067680528,2,0.0,0.0833
0.6783625730994152,0.9,0.7637362637362638,0.6750354955524005,2,0.0,0.0833
0.672514619883041,0.895,0.7637362637362638,0.6728908735208113,2,0.0,0.0833
0.672514619883041,0.895,0.7637362637362638,0.6732784290419175,2,0.0,0.0833
0.6783625730994152,0.9,0.7637362637362638,0.6766796731840291,2,0.0,0.0833
0.672514619883041,0.895,0.7582417582417582,0.6706973626046789,2,0.0,0.0833
0.672514619883041,0.9,0.7637362637362638,0.6737779845530681,2,0.0,0.0833
0.672514619883041,0.895,0.7582417582417582,0.6692377182899807,2,0.0,0.0833
0.672514619883041,0.895,0.7582417582417582,0.6709162070296706,2,0.0,0.0833
0.7719298245614035,0.91,0.8406593406593407,0.7690900649697721,2,0.0,0.0833
0.7719298245614035,0.91,0.8406593406593407,0.7731127312788684,2,0.0,0.0833
0.7660818713450293,0.905,0.8351648351648352,0.7654201097404347,2,0.0,0.0833
0.7660818713450293,0.905,0.8351648351648352,0.7673026873508723,2,0.0,0.0833
0.7660818713450293,0.91,0.8351648351648352,0.7632670432651517,2,0.0,0.0833
0.7660818713450293,0.905,0.8351648351648352,0.762660643319054,2,0.0,0.0833
0.7719298245614035,0.905,0.8296703296703297,0.7690860649701277,2,0.0,0.0833
0.7134502923976609,0.805,0.7472527472527473,0.7098632257899355,2,0.0,0.0833
0.7134502923976609,0.805,0.7527472527472527,0.7140603809724106,2,0.0,0.0833
0.7192982456140351,0.81,0.7582417582417582,0.7188977138757588,2,0.0,0.0833
0.7134502923976609,0.805,0.7527472527472527,0.7097194924693785,2,0.0,0.0833
0.7134502923976609,0.81,0.7582417582417582,0.7140891809698506,2,0.0,0.0833
0.7076023391812865,0.805,0.7527472527472527,0.7090658925274763,2,0.0,0.0833
0.7017543859649122,0.805,0.7582417582417582,0.7014747820911306,2,0.0,0.0833
0.7076023391812865,0.81,0.7527472527472527,0.7081378037210841,2,0.0,0.0833
0.7076023391812865,0.81,0.7527472527472527,0.7063440261027533,2,0.0,0.0833
0.7017543859649122,0.805,0.7417582417582418,0.699131226743891,2,0.0,0.0833
0.7134502923976609,0.805,0.7417582417582418,0.7133667810340639,2,0.0,0.0833
0.6900584795321638,0.8350000000000001,0.7472527472527473,0.689065005416444,2,0.0,0.0833
0.6842105263157894,0.8300000000000001,0.7472527472527473,0.6838371836589171,2,0.0,0.0833
0.6783625730994152,0.8350000000000001,0.7417582417582418,0.6747079400259609,2,0.0,0.0833
0.6549707602339181,0.8300000000000001,0.7252747252747253,0.651709097625858,2,0.0,0.0833
0.6432748538011697,0.8250000000000001,0.7197802197802198,0.6426128317677483,2,0.0,0.0833
0.672514619883041,0.8300000000000001,0.7362637362637363,0.6690106071990571,2,0.0,0.0833
0.6432748538011697,0.8300000000000001,0.7197802197802198,0.6420707873714856,2,0.0,0.0833
0.6491228070175439,0.8350000000000001,0.7252747252747253,0.6461174536784486,2,0.0,0.0833
0.6549707602339181,0.8250000000000001,0.7197802197802198,0.6534174530295598,2,0.0,0.0833
0.736842105263158,0.93,0.8076923076923077,0.7337612681101096,2,0.0,0.0833
0.736842105263158,0.93,0.8076923076923077,0.7346298902551209,2,0.0,0.0833
0.736842105263158,0.9349999999999999,0.8131868131868132,0.738567578793993,2,0.0,0.0833
