C,M,Y,K,IndexCMYK,Day,Abs,CPC
0.0,0.0,0.01265822784810125,0.05555555555555558,4.948816381397319e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.025316455696202528,0.02777777777777779,9.800597147473133e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
0.0,0.0,0.01265822784810125,0.02777777777777779,4.90029857373656e-06,2,0.0,0.0833
