C,M,Y,K,IndexCMYK,Day,CPC
0.295774647887324,0.0,0.2295081967213115,0.1388888888888889,0.2957679546287307,2,0.0833
0.295774647887324,0.0,0.2295081967213115,0.1388888888888889,0.2957679546287307,2,0.0833
0.295774647887324,0.0,0.2295081967213115,0.1388888888888889,0.2957679546287307,2,0.0833
0.2816901408450704,0.0,0.2295081967213115,0.1388888888888889,0.28168462486532136,2,0.0833
0.2816901408450704,0.0,0.2295081967213115,0.1388888888888889,0.28168462486532136,2,0.0833
0.2816901408450704,0.0,0.2295081967213115,0.1388888888888889,0.28168462486532136,2,0.0833
0.2816901408450704,0.0,0.2295081967213115,0.1388888888888889,0.28168462486532136,2,0.0833
0.2676056338028169,0.0,0.21311475409836067,0.12499999999999999,0.2675999145186591,2,0.0833
0.2816901408450704,0.0,0.21311475409836067,0.1388888888888889,0.2816832442820684,2,0.0833
0.2816901408450704,0.0,0.21311475409836067,0.12499999999999999,0.2816832442820684,2,0.0833
0.2816901408450704,0.0,0.21311475409836067,0.1388888888888889,0.28168325795120946,2,0.0833
0.2676056338028169,0.0,0.19672131147540983,0.1388888888888889,0.26759853393540617,2,0.0833
0.2676056338028169,0.0,0.21311475409836067,0.1388888888888889,0.2675999145186591,2,0.0833
0.2676056338028169,0.0,0.21311475409836067,0.12499999999999999,0.2675999145186591,2,0.0833
0.23943661971830987,0.0,0.19672131147540983,0.12499999999999999,0.2394318744085875,2,0.0833
0.23943661971830987,0.0,0.19672131147540983,0.12499999999999999,0.2394318607394464,2,0.0833
0.23943661971830987,0.0,0.19672131147540983,0.12499999999999999,0.2394318744085875,2,0.0833
0.2535211267605634,0.0,0.19672131147540983,0.1388888888888889,0.2535152041719968,2,0.0833
0.2676056338028169,0.0,0.21311475409836067,0.1527777777777778,0.26759992818780015,2,0.0833
0.23943661971830987,0.0,0.1639344262295082,0.1527777777777778,0.2394291269112227,2,0.0833
0.2112676056338028,0.0,0.14754098360655737,0.1527777777777778,0.21126108680115113,2,0.0833
0.1971830985915493,0.0,0.13114754098360654,0.1388888888888889,0.19717636278534773,2,0.0833
0.1971830985915493,0.0,0.13114754098360654,0.1388888888888889,0.19717636278534773,2,0.0833
0.1971830985915493,0.0,0.13114754098360654,0.1527777777777778,0.19717637645448888,2,0.0833
0.1971830985915493,0.0,0.13114754098360654,0.1527777777777778,0.19717637645448888,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.11475409836065575,0.1527777777777778,0.16900833634441725,2,0.0833
0.16901408450704225,0.0,0.09836065573770492,0.1527777777777778,0.1690069557611643,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.1527777777777778,0.154923625997755,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.16666666666666669,0.15492365333603725,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.16666666666666669,0.15492365333603725,2,0.0833
0.15492957746478875,0.0,0.09836065573770492,0.16666666666666669,0.15492363966689615,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.18055555555555558,0.14084170415588088,2,0.0833
0.1408450704225352,0.0,0.09836065573770492,0.18055555555555558,0.14084032357262793,2,0.0833
0.1408450704225352,0.0,0.09836065573770492,0.18055555555555558,0.14084032357262793,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084170415588088,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.09836065573770492,0.16666666666666669,0.14084030990348684,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.09836065573770492,0.16666666666666669,0.14084030990348684,2,0.0833
0.1408450704225352,0.0,0.11475409836065575,0.16666666666666669,0.14084169048673978,2,0.0833
0.1408450704225352,0.0,0.09836065573770492,0.16666666666666669,0.14084030990348684,2,0.0833
